solar panels,male count,female count,baby,olders,employeed,income,district,squrefeet,units
No,1,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",126
No,2,2,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",230
No,2,4,0,0,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"More than 4,500 square feet",410
No,2,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",245
No,5,4,0,4,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"More than 4,500 square feet",440
No,2,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"2,500 to 3,500 square feet",134
No,1,2,0,1,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",121
No,3,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",163
No,4,4,0,3,3,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",390
No,1,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",120
No,1,1,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",162
No,2,1,1,0,1,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",123
No,2,2,2,1,1,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"1,500 to 2,500 square feet",220
No,2,2,0,1,1,"Below Rs. 50,000",Kaluthara,"Less than 1,500 square feet",166
No,2,1,0,0,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",127
No,1,2,1,0,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",142
Yes,2,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",150
No,2,1,1,1,2,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",100
Yes,1,2,1,2,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",130
No,3,4,1,0,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"More than 4,500 square feet",400
Yes,2,2,2,2,1,"Below Rs. 50,000",Jaffna,"1,500 to 2,500 square feet",100
No,2,1,1,1,1,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",121
No,3,5,0,3,3,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",420
Yes,2,1,2,1,2,"Between Rs. 50,000 and Rs. 100,000",Hambantota,"Less than 1,500 square feet",100
Yes,1,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Nuwara Eliya,"1,500 to 2,500 square feet",100
No,4,3,0,1,4,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",410
Yes,2,1,2,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",100
Yes,2,2,2,1,2,"Between Rs. 50,000 and Rs. 100,000",Hambantota,"Less than 1,500 square feet",100
No,1,1,1,1,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",120
Yes,2,2,1,2,2,"Between Rs. 50,000 and Rs. 100,000",Kandy,"Less than 1,500 square feet",100
No,2,2,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",123
No,3,3,0,2,3,"Between Rs. 300,000 and Rs.400,000",Gampaha,"More than 4,500 square feet",402
No,1,1,0,1,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",130
No,2,2,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",132
No,4,3,1,2,2,"Between Rs. 300,000 and Rs.400,000",Kaluthara,"3,500 to 4,500 square feet",420
No,1,2,0,1,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",120
No,3,4,2,2,3,"Above Rs. 400,000",Gampaha,"3,500 to 4,500 square feet",402
No,4,4,2,2,2,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",395
No,2,4,1,2,2,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",400
No,3,3,1,2,3,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",412
No,4,3,2,3,3,"Above Rs. 400,000",Kaluthara,"3,500 to 4,500 square feet",408
No,3,4,2,2,3,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",399
No,4,4,2,3,3,"Above Rs. 400,000",Kaluthara,"More than 4,500 square feet",414
No,3,4,0,3,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",398
No,3,3,1,2,2,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",420
No,4,3,2,3,2,"Between Rs. 300,000 and Rs.400,000",Kaluthara,"More than 4,500 square feet",413
No,3,3,1,2,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",396
No,3,3,0,0,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",400
No,3,3,0,1,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",380
No,4,4,2,2,3,"Above Rs. 400,000",Kaluthara,"More than 4,500 square feet",394
No,2,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",239
No,4,5,0,2,4,"Between Rs. 50,000 and Rs. 100,000",Galle,"1,500 to 2,500 square feet",100
Yes,1,3,0,0,3,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",162
No,4,3,0,3,3,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",399
No,4,3,1,1,3,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",412
No,3,2,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",410
No,3,3,0,2,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",415
No,2,1,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",253
No,2,2,0,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",235
No,1,3,0,1,1,"Between Rs. 200,000 and Rs. 300,000",Colombo,"3,500 to 4,500 square feet",381
No,2,2,2,0,0,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",263
No,4,5,0,4,4,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",420
No,3,2,0,2,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",110
No,3,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"Less than 1,500 square feet",120
No,3,2,1,1,3,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",420
No,2,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",110
No,3,1,1,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",200
No,1,2,0,1,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",232
No,2,1,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",269
No,2,2,1,1,1,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"1,500 to 2,500 square feet",230
No,2,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",260
No,1,2,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"1,500 to 2,500 square feet",230
No,3,4,2,1,3,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",395
No,2,3,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",288
No,2,2,1,2,2,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"2,500 to 3,500 square feet",279
No,2,1,2,1,0,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",220
No,1,2,0,1,1,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"1,500 to 2,500 square feet",230
No,2,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",234
No,3,4,2,1,2,"Above Rs. 400,000",Gampaha,"3,500 to 4,500 square feet",400
No,2,3,2,0,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",269
No,3,5,0,4,4,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",440
No,4,4,2,2,2,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",420
No,2,1,1,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",260
No,4,5,0,0,4,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",420
No,2,2,1,1,1,,Colombo,"2,500 to 3,500 square feet",230
No,3,3,0,0,2,"Above Rs. 400,000",Colombo,"2,500 to 3,500 square feet",378
No,2,2,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",234
No,3,3,0,0,2,"Above Rs. 400,000",Colombo,"2,500 to 3,500 square feet",378
No,2,2,1,1,1,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"2,500 to 3,500 square feet",230
No,2,2,1,1,1,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"2,500 to 3,500 square feet",230
No,2,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"2,500 to 3,500 square feet",190
No,2,1,1,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",115
No,2,3,0,1,3,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"1,500 to 2,500 square feet",135
No,4,1,2,1,2,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",109
No,4,5,0,3,2,"Above Rs. 400,000",Gampaha,"2,500 to 3,500 square feet",400
No,2,2,0,2,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",237
