Solar,Male,Female,children,Adult,Employee,Income,District,landSize,AirCondioner,Fan,Micro,TV,Refig,Iron,Geyser,WashingMaching,Profile,Units
0,5,5,4,4,8,6,10,6,5,5,2,3,2,2,3,2,3,504.9066667
0,2,0,1,1,3,3,7,3,1,1,1,1,1,1,0,1,2,329.5833333
0,1,1,0,0,1,1,5,2,0,1,0,1,1,1,0,0,0,46.6666667
0,0,2,0,0,2,1,5,1,0,1,0,0,0,1,0,0,0,24.0666667
0,2,0,1,1,3,3,7,3,1,1,1,1,1,1,0,1,2,305.6666667
0,5,5,4,4,8,6,10,6,5,5,2,3,2,2,3,2,3,450.8333333
0,0,2,0,0,2,1,5,1,0,1,0,0,0,1,0,0,0,39.5833333
0,2,2,1,1,2,3,7,3,1,1,0,1,1,1,0,0,2,229.5
0,0,1,0,0,2,1,5,1,0,1,0,0,0,1,0,0,0,15
0,0,1,0,0,2,1,5,1,0,1,0,0,0,1,0,0,0,9.9066667
0,2,2,1,1,2,3,7,3,1,1,0,1,1,1,0,0,2,238.8333333
0,1,1,0,0,2,2,5,2,0,1,0,0,1,1,0,0,0,38
0,0,2,1,0,1,2,5,1,0,1,0,1,1,1,0,0,0,89
0,5,5,4,4,8,6,10,6,5,5,2,3,2,2,3,2,3,445
0,1,1,0,0,1,2,5,1,0,1,0,1,1,1,0,0,0,148
0,1,2,0,0,2,2,5,2,0,1,0,1,1,1,0,0,0,159
0,2,2,0,1,3,3,7,3,1,2,1,1,1,1,0,0,2,297
0,1,2,0,0,2,2,5,2,0,1,0,1,1,1,0,0,0,138.0833333
0,1,0,1,0,1,1,5,1,0,1,1,0,1,1,0,0,0,124.6666667
0,2,2,0,1,3,3,7,3,1,2,1,1,1,1,0,0,2,261
0,1,1,1,0,2,2,5,2,0,1,0,1,1,1,0,0,0,150.6666667
0,2,2,0,1,3,3,7,3,1,1,1,1,1,1,1,1,2,432.5
0,5,5,4,4,8,6,10,6,5,5,2,3,2,2,3,2,2,492
0,2,4,0,2,2,5,0,3,0,2,0,0,0,0,2,0,2,198.8333333
0,3,3,0,2,3,5,0,4,2,0,0,0,0,0,0,0,2,403.3333333
0,4,3,2,3,3,5,2,3,2,0,0,0,0,0,0,0,2,408.5
0,3,4,2,2,3,5,0,3,2,0,0,0,0,0,0,0,2,407.5833333
0,4,4,2,3,3,5,2,4,2,0,0,0,0,0,0,0,2,400.3333333
0,3,4,0,3,3,4,0,3,2,0,0,0,0,0,0,0,2,405.9066667
0,3,3,0,2,2,5,0,4,2,0,0,0,0,0,0,0,2,405.5
0,4,3,2,3,2,4,2,4,2,0,0,0,0,0,0,0,2,409.9066667
0,3,3,0,2,3,4,0,3,2,0,0,0,0,0,0,0,2,400.6666667
0,3,3,0,0,3,4,0,3,2,0,0,0,0,0,0,0,2,406.4066667
0,3,3,0,0,3,4,0,3,2,0,0,0,0,0,0,0,2,403.0833333
0,4,4,2,2,3,5,2,4,2,0,0,0,0,0,0,0,2,406.25
0,2,2,0,0,2,2,0,2,0,3,0,2,3,0,0,2,2,247.0666667
0,4,5,0,2,4,0,0,0,0,4,0,0,0,0,0,0,0,2.4066667
0,0,3,0,0,3,2,0,2,0,5,0,2,0,0,0,0,0,59
0,4,3,0,3,3,5,0,3,2,0,0,0,0,0,0,0,2,400.0666667
0,4,3,0,0,3,5,0,4,2,0,0,0,0,0,0,0,2,408.5833333
0,3,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,427.3333333
0,3,3,0,2,3,4,0,3,2,0,0,0,0,0,0,0,2,409.25
0,2,0,0,0,0,2,0,0,0,5,2,2,2,2,0,0,2,255
0,2,2,0,0,2,2,0,0,0,4,0,0,2,2,0,2,2,247
0,0,3,0,0,0,3,0,3,2,4,2,3,0,0,0,0,2,383.5833333
0,2,2,2,0,0,2,0,2,0,6,2,2,2,2,0,0,2,276.4066667
0,4,5,0,4,4,5,0,4,2,0,0,0,0,0,0,0,2,424.6666667
0,3,2,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,6.0833333
0,3,2,0,0,2,2,0,0,0,4,0,2,0,0,0,0,0,37.3333333
0,3,2,0,0,3,3,0,2,2,0,0,0,0,0,0,0,2,433.3333333
0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,20.5
0,3,0,0,0,2,0,0,0,0,6,0,0,0,0,0,2,2,223.5
0,0,2,0,0,0,0,0,0,0,4,0,2,2,0,0,2,2,252
0,2,0,0,0,0,2,0,2,0,4,2,0,2,2,0,2,2,268.8333333
0,2,2,0,0,0,0,2,0,0,3,0,2,0,0,0,0,2,249.8333333
0,2,2,0,0,2,2,0,2,0,4,0,0,0,0,0,0,2,269.5
0,0,2,0,0,0,0,2,0,0,4,0,2,0,0,0,0,2,253
0,3,4,2,0,3,5,0,3,2,0,0,0,0,0,0,0,2,407.5833333
0,2,3,0,0,2,2,0,2,0,5,0,0,2,0,0,0,2,303.0666667
0,2,2,0,2,2,2,2,2,0,4,2,3,0,0,0,0,2,303.0666667
0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,243.6666667
0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,245.0833333
0,2,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,260.9066667
0,3,4,2,0,2,5,0,3,2,0,0,0,0,0,0,0,2,420.0666667
0,2,3,2,0,2,2,0,2,0,3,0,0,0,0,0,0,2,276.8333333
0,3,5,0,4,4,5,0,4,2,0,0,0,0,0,0,0,3,445
0,4,4,2,2,2,5,0,4,2,0,0,0,0,0,0,0,2,409.5
0,2,0,0,0,2,2,0,0,0,5,0,0,0,0,0,0,2,267.8333333
0,4,5,0,0,4,5,0,4,2,0,0,0,0,0,0,0,2,420
0,3,3,0,0,2,5,0,2,0,3,0,2,0,0,0,0,2,249
0,2,2,0,0,2,2,0,0,2,0,0,2,0,0,0,0,2,407.3333333
0,3,3,0,0,2,5,0,2,0,2,0,3,0,0,0,0,2,265.8333333
0,2,2,0,0,0,3,0,2,2,0,0,2,0,0,0,0,2,407.3333333
0,2,2,0,0,0,3,0,2,0,2,0,0,0,0,0,0,2,220
0,2,2,0,0,2,2,2,2,0,4,0,0,0,0,0,0,2,220
0,2,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,2,200.0666667
0,2,3,0,0,3,2,2,0,0,3,0,2,0,0,0,0,0,23
0,4,0,2,0,2,0,2,0,0,4,0,0,0,0,0,0,0,20.5833333
0,4,5,0,3,2,5,0,2,0,0,0,0,0,0,0,0,0,22.4066667
0,2,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,2,406.0833333
0,0,2,0,0,2,0,2,0,0,3,0,2,0,0,0,0,2,253
0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,94.90666667
0,3,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,94.90666667
0,3,4,0,3,3,4,0,3,0,3,2,2,0,0,0,0,2,308
0,4,4,2,0,2,4,0,4,2,0,0,0,0,0,0,0,2,407.75
0,4,3,0,2,3,5,2,3,2,0,0,0,0,0,0,0,2,409.0666667
0,3,4,2,0,3,5,0,3,2,0,0,0,0,0,0,0,2,408
0,3,3,0,2,3,5,2,4,2,0,0,0,0,0,0,0,2,403.5
0,3,4,0,3,3,5,0,3,2,0,0,0,0,0,0,0,2,407.4066667
0,3,3,2,2,3,5,0,3,2,0,0,0,0,0,0,0,2,407.3333333
0,4,3,0,2,3,4,0,4,2,0,0,0,0,0,0,0,2,404.0666667
0,4,3,2,0,2,5,0,3,2,0,0,0,0,0,0,0,2,406.4066667
